CodigoLocalidad,CodigoRecinto,CodigoMesa,opcion,conteo
729,601,2015991,LIBRE,35
729,703,2018401,PDC,80
729,703,2018401,LIBRE,123
820,32392,2040881,PDC,11
820,32392,2040881,LIBRE,5
821,26441,3000191,PDC,49
821,26441,3000191,LIBRE,147
821,103,3001321,PDC,75
821,103,3001321,LIBRE,123
821,103,3001341,PDC,86
821,103,3001341,LIBRE,115
821,103,3001351,PDC,96
821,103,3001351,LIBRE,105
821,103,3001361,PDC,75
821,103,3001361,LIBRE,138
821,103,3001371,PDC,94
821,103,3001371,LIBRE,109
821,225,3001981,PDC,95
821,225,3001981,LIBRE,108
821,225,3002011,PDC,88
821,225,3002011,LIBRE,105
821,232,3002451,PDC,31
821,232,3002451,LIBRE,173
821,232,3002461,PDC,36
821,232,3002461,LIBRE,175
821,232,3002501,PDC,32
821,232,3002501,LIBRE,178
821,232,3002511,PDC,24
821,232,3002511,LIBRE,139
821,231,3003251,PDC,26
821,231,3003251,LIBRE,179
821,231,3003261,PDC,30
821,231,3003261,LIBRE,171
821,231,3003271,PDC,32
821,231,3003271,LIBRE,177
821,231,3003281,PDC,47
821,231,3003281,LIBRE,177
821,231,3003291,PDC,34
821,231,3003291,LIBRE,175
821,231,3003301,PDC,38
821,231,3003301,LIBRE,161
821,231,3003311,PDC,34
821,231,3003311,LIBRE,172
821,231,3003321,PDC,15
821,231,3003321,LIBRE,92
821,25872,3003381,PDC,28
821,25872,3003381,LIBRE,185
821,25872,3003391,PDC,22
821,25872,3003391,LIBRE,191
821,25872,3003401,PDC,22
821,25872,3003401,LIBRE,190
821,123,3003431,PDC,16
821,123,3003431,LIBRE,200
821,26442,3004221,PDC,20
821,26442,3004221,LIBRE,118
821,134,3005301,PDC,51
821,134,3005301,LIBRE,158
821,134,3005321,PDC,64
821,134,3005321,LIBRE,141
821,134,3005331,PDC,65
821,134,3005331,LIBRE,143
821,134,3005341,PDC,58
821,134,3005341,LIBRE,146
821,220,3006281,PDC,57
821,220,3006281,LIBRE,156
821,220,3006291,PDC,61
821,220,3006291,LIBRE,137
821,220,3006301,PDC,44
821,220,3006301,LIBRE,165
821,220,3006311,PDC,52
821,220,3006311,LIBRE,158
821,220,3006321,PDC,27
821,220,3006321,LIBRE,58
821,243,3006331,PDC,41
821,243,3006331,LIBRE,167
821,243,3006341,PDC,42
821,243,3006341,LIBRE,150
821,243,3006351,PDC,39
821,243,3006351,LIBRE,180
821,243,3006361,PDC,15
821,243,3006361,LIBRE,59
821,197,3018001,PDC,122
821,197,3018001,LIBRE,30
821,197,3018011,PDC,68
821,197,3018011,LIBRE,15
821,113,3018021,PDC,21
821,113,3018021,LIBRE,180
821,113,3018031,PDC,25
821,113,3018031,LIBRE,156
821,113,3018041,PDC,30
821,113,3018041,LIBRE,182
821,113,3018051,PDC,20
821,113,3018051,LIBRE,174
821,113,3018061,PDC,20
821,113,3018061,LIBRE,161
821,113,3018071,PDC,23
821,113,3018071,LIBRE,178
821,113,3018081,PDC,25
821,113,3018081,LIBRE,171
821,113,3018091,PDC,26
821,113,3018091,LIBRE,175
821,113,3018101,PDC,26
821,113,3018101,LIBRE,173
821,113,3018111,PDC,29
